Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
2014,23562,Berry Plastics,Plastic Film and Sheet Manufacturing,24,Particulate Matter 2.5 (PM2.5),,,69,,69,,,,
2014,23562,Berry Plastics,Plastic Film and Sheet Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,3295,409,,3704,,,,
2014,25396,Bestway Donlands Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),23,Nitrogen Oxides (NOx),11104-93-1,,95,,95,,,,
2014,25396,Bestway Donlands Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),24,Particulate Matter 2.5 (PM2.5),,,2,,2,,,,
2014,25396,Bestway Donlands Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,1613,758,,,,
2014,23383,Betterway Drycleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,737,346,,,,
2014,25568,Bianchi Bros Collision,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,150,120,,,,
2014,22109,Bill's Flooring,Finish Carpentry & Wood Flooring Work,25,Volatile Organic Compounds (VOCs) Total,,0,0,10,0,0,0,,
2014,22993,Birchmount Collision,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,620,584,,,,
2014,120,Black Creek Dry Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),23,Nitrogen Oxides (NOx),11104-93-1,,22,,22,,,,
2014,120,Black Creek Dry Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),24,Particulate Matter 2.5 (PM2.5),,,1,,1,,,,
2014,120,Black Creek Dry Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,177,86,,,,
2014,120,Black Creek Dry Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),25,Volatile Organic Compounds (VOCs) Total,,,1,3,1,,,,
2014,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,9,"Chromium, Non-Hexavalent and its compounds",,23668,,,0,,,,
2014,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1033,,1033,,,,
2014,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,24,Particulate Matter 2.5 (PM2.5),,,97,,97,,,,
2014,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,25,Volatile Organic Compounds (VOCs) Total,,884322,,,21840,,,,
2014,23033,Blue Bonnet Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,590,308,,,,
2014,23827,Bohne Spring Industries Limited,Spring (Heavy Gauge) Mfg.,16,Manganese and its compounds,,26,,,0,,,,
2014,23827,Bohne Spring Industries Limited,Spring (Heavy Gauge) Mfg.,18,Nickel and its compounds,,210,,,0,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,8,"Chromium, Hexavalent and its compounds",,,,325,4,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,9,"Chromium, Non-Hexavalent and its compounds",,321,,,10,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,16,Manganese and its compounds,,36,,1695,2,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,18,Nickel and its compounds,,188,,,6,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,8276,,8276,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,24,Particulate Matter 2.5 (PM2.5),,,286,,286,,,,
2014,24224,Bombardier Aerospace Toronto Site,Aerospace Product & Parts Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,455,37554,22400,,,,
2014,24178,BondBoyd Co Limited,Jewellery & Silverware Mfg.,20,Trichloroethylene,079-01-6,,,600,600,,,,
2014,24178,BondBoyd Co Limited,Jewellery & Silverware Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,600,600,,,,
2014,23775,Borgo Contract Seating,Office Furniture (except Wood) Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,500,0,,,,
2014,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,286,,286,,,,
2014,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,24,Particulate Matter 2.5 (PM2.5),,,284,,284,,,,
2014,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,726,,726,,,,
2014,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,14,Formaldehyde,50-00-0,44000,,,1,,,,
2014,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,12669000,,,1208,,,,
